"Freq [GHz]","dB(S(hDipole1_1_p1,hDipole2_1_p1)) []"
1,-82.4949759097529
1.03030303030303,-83.2062424124032
1.06060606060606,-83.069892558526
1.09090909090909,-82.5890610681145
1.12121212121212,-83.1491395400778
1.15151515151515,-82.3879148484987
1.18181818181818,-84.3507223389961
1.21212121212121,-83.2661993718724
1.24242424242424,-84.1888536941351
1.27272727272727,-82.3575873753438
1.3030303030303,-81.1644710024383
1.33333333333333,-80.2171242349945
1.36363636363636,-79.3303050197918
1.39393939393939,-79.3199086731248
1.42424242424242,-78.9795020819537
1.45454545454545,-80.8622364331781
1.48484848484849,-80.9135487629816
1.51515151515152,-81.2706566469705
1.54545454545455,-79.8769912197569
1.57575757575758,-78.6692311200201
1.60606060606061,-78.2918220865056
1.63636363636364,-78.2561964983737
1.66666666666667,-79.20367023301
1.6969696969697,-78.712547199379
1.72727272727273,-79.6789726398531
1.75757575757576,-79.6060428827432
1.78787878787879,-80.59939820864
1.81818181818182,-81.6019041834213
1.84848484848485,-82.936801313902
1.87878787878788,-85.1422804274478
1.90909090909091,-85.8150285312055
1.93939393939394,-86.235489062533
1.96969696969697,-85.3541210165356
2,-85.2285870612084
2.03030303030303,-84.5993265435839
2.06060606060606,-84.1694533507029
2.09090909090909,-84.7167422500765
2.12121212121212,-84.5479878746958
2.15151515151515,-85.8660741896521
2.18181818181818,-85.6933068255048
2.21212121212121,-86.7003220752314
2.24242424242424,-86.5961898465399
2.27272727272727,-87.2417054747187
2.3030303030303,-88.1446827858338
2.33333333333333,-88.4951954043785
2.36363636363636,-89.6463426385641
2.39393939393939,-88.8739038523736
2.42424242424242,-89.43193545961
2.45454545454545,-89.1392938602776
2.48484848484848,-89.4098985655387
2.51515151515152,-89.632285825703
2.54545454545455,-90.2159051474715
2.57575757575758,-90.8980946287725
2.60606060606061,-90.9406944983936
2.63636363636364,-91.8803727560511
2.66666666666667,-91.0371494807777
2.6969696969697,-91.4664168449797
2.72727272727273,-91.1882817586611
2.75757575757576,-91.5541204571458
2.78787878787879,-91.7207077005123
2.81818181818182,-91.1193666570693
2.84848484848485,-90.8561804443524
2.87878787878788,-89.8125498535768
2.90909090909091,-90.1533457522793
2.93939393939394,-89.1352218671901
2.96969696969697,-89.804753443086
3,-89.9898215447517
3.03030303030303,-90.5559598977251
3.06060606060606,-90.4299013367844
3.09090909090909,-89.6347544581468
3.12121212121212,-89.9252187310665
3.15151515151515,-89.6835978127628
3.18181818181818,-90.4149355409717
3.21212121212121,-90.1392635155604
3.24242424242424,-91.2501784391863
3.27272727272727,-91.8031476458699
3.3030303030303,-92.4207595469481
3.33333333333333,-92.7851937820757
3.36363636363636,-92.6676516364098
3.39393939393939,-93.8691701920287
3.42424242424242,-94.3606893279936
3.45454545454545,-96.8946618896243
3.48484848484848,-96.6303723395213
3.51515151515152,-97.9508156246747
3.54545454545455,-98.5595769207765
3.57575757575758,-98.4734799540549
3.60606060606061,-99.039936377663
3.63636363636364,-98.4725937786695
3.66666666666667,-99.1509150609048
3.6969696969697,-98.8789832292514
3.72727272727273,-99.7370749253072
3.75757575757576,-98.7995070501591
3.78787878787879,-98.7934912146571
3.81818181818182,-99.290182969626
3.84848484848485,-98.5832243700224
3.87878787878788,-99.7961606853926
3.90909090909091,-99.2373175405091
3.93939393939394,-100.830764053174
3.96969696969697,-99.9224074684546
4,-101.626566659329
