"Freq [GHz]","dB(S(hDipole1_1_p1,hDipole2_1_p1)) []"
1,-93.7357133145529
1.03030303030303,-92.7967220715681
1.06060606060606,-94.0483219945936
1.09090909090909,-93.4275623589435
1.12121212121212,-92.8684892073535
1.15151515151515,-94.4414267828739
1.18181818181818,-94.0540481159485
1.21212121212121,-93.9995470319332
1.24242424242424,-95.5393744197136
1.27272727272727,-95.5050342130962
1.3030303030303,-94.8342873224036
1.33333333333333,-96.3628757546869
1.36363636363636,-95.2876623800175
1.39393939393939,-94.2472192452647
1.42424242424242,-95.8356749153443
1.45454545454545,-94.1694441519575
1.48484848484849,-93.7173021932612
1.51515151515152,-94.9938856225874
1.54545454545455,-93.4595418341062
1.57575757575758,-93.0838102969014
1.60606060606061,-94.1115036676955
1.63636363636364,-93.8910909049118
1.66666666666667,-94.0653782442642
1.6969696969697,-96.2354886793308
1.72727272727273,-96.1302433524416
1.75757575757576,-96.5486239318584
1.78787878787879,-99.3044978513717
1.81818181818182,-99.3711755487246
1.84848484848485,-100.299708973208
1.87878787878788,-103.303384636841
1.90909090909091,-103.496279101941
1.93939393939394,-103.473488140112
1.96969696969697,-105.434808779936
2,-105.2560784255
2.03030303030303,-104.52570746957
2.06060606060606,-106.982922652523
2.09090909090909,-106.336554708494
2.12121212121212,-105.567464234705
2.15151515151515,-108.625692845692
2.18181818181818,-107.050619049365
2.21212121212121,-106.748776500547
2.24242424242424,-108.968484875174
2.27272727272727,-107.390918626838
2.3030303030303,-106.760673852781
2.33333333333333,-108.13609663249
2.36363636363636,-106.968373929926
2.39393939393939,-106.082863867007
2.42424242424242,-107.820323186656
2.45454545454545,-106.919776808236
2.48484848484848,-106.272621179954
2.51515151515152,-108.395740526033
2.54545454545455,-107.742830169839
2.57575757575758,-107.65307562779
2.60606060606061,-109.446215687437
2.63636363636364,-109.235031278254
2.66666666666667,-108.98464552598
2.6969696969697,-110.701069411635
2.72727272727273,-110.990257278455
2.75757575757576,-110.501382572979
2.78787878787879,-112.800838103786
2.81818181818182,-112.705775009058
2.84848484848485,-111.558043947265
2.87878787878788,-113.570600892959
2.90909090909091,-112.364949923511
2.93939393939394,-111.513870650748
2.96969696969697,-112.670496546885
3,-111.310976368985
3.03030303030303,-110.160758857165
3.06060606060606,-111.114476908434
3.09090909090909,-109.973066994986
3.12121212121212,-109.197044923309
3.15151515151515,-110.970337038576
3.18181818181818,-110.221931416338
3.21212121212121,-109.882937099123
3.24242424242424,-111.579247036743
3.27272727272727,-110.718717349697
3.3030303030303,-110.710583328432
3.33333333333333,-112.064625000864
3.36363636363636,-111.846871028702
3.39393939393939,-111.778662642483
3.42424242424242,-113.518282609782
3.45454545454545,-113.677492904784
3.48484848484848,-113.644066854993
3.51515151515152,-115.94660413261
3.54545454545455,-115.761761223028
3.57575757575758,-115.848979489071
3.60606060606061,-118.127725201146
3.63636363636364,-117.41208395639
3.66666666666667,-117.700389926801
3.6969696969697,-119.502588673647
3.72727272727273,-118.340127964683
3.75757575757576,-117.633089802995
3.78787878787879,-118.934740994315
3.81818181818182,-117.44083581022
3.84848484848485,-116.765213204479
3.87878787878788,-118.125335788383
3.90909090909091,-116.109782580551
3.93939393939394,-115.710519813724
3.96969696969697,-116.755762558334
4,-115.143387014325
