"Freq [GHz]","dB(S(hDipole1_1_p1,hDipole2_1_p1)) []"
1,-33.4573025126393
1.03030303030303,-39.6940996864202
1.06060606060606,-48.0126647458421
1.09090909090909,-35.6550002036643
1.12121212121212,-31.9488066831988
1.15151515151515,-31.2259370992219
1.18181818181818,-33.1547858032848
1.21212121212121,-39.3237461683607
1.24242424242424,-48.9371733948487
1.27272727272727,-35.2782053407707
1.3030303030303,-31.5808377825031
1.33333333333333,-30.7259456384081
1.36363636363636,-32.2609026671752
1.39393939393939,-37.8703354966796
1.42424242424242,-45.1248781942688
1.45454545454545,-34.1252484006137
1.48484848484849,-30.2678818433745
1.51515151515152,-29.3340611902181
1.54545454545455,-30.9484406484792
1.57575757575758,-36.108640991298
1.60606060606061,-41.711470433555
1.63636363636364,-33.957155838254
1.66666666666667,-31.3208265476064
1.6969696969697,-31.5042334404424
1.72727272727273,-33.9119945849446
1.75757575757576,-39.4233452791899
1.78787878787879,-44.5471665505033
1.81818181818182,-39.048225804333
1.84848484848485,-36.6354264675001
1.87878787878788,-36.8180519691743
1.90909090909091,-39.0687659842418
1.93939393939394,-43.3266942903188
1.96969696969697,-46.6201575865884
2,-41.5799998641114
2.03030303030303,-38.6024997958597
2.06060606060606,-38.0196238051351
2.09090909090909,-39.392933221443
2.12121212121212,-42.9645173215402
2.15151515151515,-45.6385042261534
2.18181818181818,-41.8625215027927
2.21212121212121,-39.1359183573635
2.24242424242424,-38.5917824478792
2.27272727272727,-40.0645652757415
2.3030303030303,-43.4336018400661
2.33333333333333,-45.6856800624981
2.36363636363636,-42.7573871836576
2.39393939393939,-40.4349963707064
2.42424242424242,-40.0195987205571
2.45454545454545,-41.2696641579228
2.48484848484848,-44.045850927731
2.51515151515152,-46.0414660159419
2.54545454545455,-44.099529295793
2.57575757575758,-42.1847905006339
2.60606060606061,-41.8368809822124
2.63636363636364,-43.1829523682392
2.66666666666667,-45.8809849690135
2.6969696969697,-47.6058645358291
2.72727272727273,-46.0398727775331
2.75757575757576,-44.442037877575
2.78787878787879,-44.2720571058771
2.81818181818182,-45.0104199958309
2.84848484848485,-46.486354004282
2.87878787878788,-47.2676628013955
2.90909090909091,-45.5569353213311
2.93939393939394,-43.5194007027573
2.96969696969697,-42.5750030733835
3,-42.9862300152524
3.03030303030303,-44.3476277778288
3.06060606060606,-44.9498126007697
3.09090909090909,-43.471117661779
3.12121212121212,-42.1085774517412
3.15151515151515,-41.9026459117279
3.18181818181818,-42.7323048195364
3.21212121212121,-44.2170565560684
3.24242424242424,-45.179150067597
3.27272727272727,-44.6186261614034
3.3030303030303,-43.6583571407637
3.33333333333333,-43.3859345246652
3.36363636363636,-44.1191512111917
3.39393939393939,-45.4906305044738
3.42424242424242,-46.2978389352522
3.45454545454545,-45.8033213573702
3.48484848484848,-45.0568567503751
3.51515151515152,-44.9781011534197
3.54545454545455,-45.6265564560044
3.57575757575758,-46.6470947404663
3.60606060606061,-47.3100881975697
3.63636363636364,-47.1126189994303
3.66666666666667,-46.5956702470561
3.6969696969697,-46.4648576060526
3.72727272727273,-46.2289190625627
3.75757575757576,-46.3322992946093
3.78787878787879,-46.0767150734127
3.81818181818182,-45.0845295499154
3.84848484848485,-43.9517740149942
3.87878787878788,-43.2606012787449
3.90909090909091,-43.0297276967352
3.93939393939394,-42.9714068706406
3.96969696969697,-42.7111380601001
4,-42.0555859201857
