"Freq [GHz]","dB(S(hDipole1_1_p1,hDipole2_1_p1)) []"
1,-33.3480067612058
1.03030303030303,-37.9147314733779
1.06060606060606,-45.2604007359553
1.09090909090909,-37.3066181974218
1.12121212121212,-32.8288818692583
1.15151515151515,-31.6448918395703
1.18181818181818,-33.292232677714
1.21212121212121,-39.4584022163814
1.24242424242424,-40.5598331678016
1.27272727272727,-32.3043931492699
1.3030303030303,-29.502404926472
1.33333333333333,-29.484182593265
1.36363636363636,-32.1756627105725
1.39393939393939,-39.684437552291
1.42424242424242,-46.8464716772978
1.45454545454545,-36.2278424120084
1.48484848484849,-33.565510402771
1.51515151515152,-32.5467360832676
1.54545454545455,-32.6408813902872
1.57575757575758,-36.3012631732078
1.60606060606061,-41.5332165251826
1.63636363636364,-32.2139848511032
1.66666666666667,-29.3835220569292
1.6969696969697,-29.6582119769754
1.72727272727273,-32.2184318017938
1.75757575757576,-37.2074925385603
1.78787878787879,-40.3194572628479
1.81818181818182,-37.8071041918456
1.84848484848485,-36.8977984750221
1.87878787878788,-37.7784292313526
1.90909090909091,-40.7191066862918
1.93939393939394,-47.2001108345425
1.96969696969697,-54.442551486652
2,-44.2102420626427
2.03030303030303,-39.7616766417555
2.06060606060606,-37.8480201061557
2.09090909090909,-37.8589647376955
2.12121212121212,-39.5184556889702
2.15151515151515,-40.3683471119414
2.18181818181818,-38.293846333743
2.21212121212121,-36.8282318952438
2.24242424242424,-37.2101150748846
2.27272727272727,-39.8240884205637
2.3030303030303,-45.7642062621779
2.33333333333333,-54.7163506966132
2.36363636363636,-49.6551495878539
2.39393939393939,-45.6966380642956
2.42424242424242,-44.533259889947
2.45454545454545,-45.8257078094742
2.48484848484848,-49.5695761390861
2.51515151515152,-48.6307632050197
2.54545454545455,-44.4076048576942
2.57575757575758,-41.9664257787475
2.60606060606061,-40.9958572066684
2.63636363636364,-41.5732349877536
2.66666666666667,-43.1834756739729
2.6969696969697,-44.1206231102679
2.72727272727273,-43.1813928536542
2.75757575757576,-42.4019572051096
2.78787878787879,-43.2750489023383
2.81818181818182,-45.7187975581179
2.84848484848485,-49.5958007401112
2.87878787878788,-51.7424916736942
2.90909090909091,-50.0307081389198
2.93939393939394,-47.9616235970243
2.96969696969697,-45.6699688278512
3,-44.0019069437264
3.03030303030303,-43.2335524221243
3.06060606060606,-42.4221100391702
3.09090909090909,-40.7373053359625
3.12121212121212,-39.6514912411227
3.15151515151515,-39.8341026328581
3.18181818181818,-41.0763735307367
3.21212121212121,-43.0440820284645
3.24242424242424,-44.5004055838977
3.27272727272727,-44.5229945797882
3.3030303030303,-44.8546252323601
3.33333333333333,-46.996526998494
3.36363636363636,-51.2004112585062
3.39393939393939,-54.6679663984671
3.42424242424242,-52.8001149239018
3.45454545454545,-48.8255981409971
3.48484848484848,-45.3117837053574
3.51515151515152,-43.1921202835992
3.54545454545455,-42.4579296896273
3.57575757575758,-42.8308748394627
3.60606060606061,-43.6111729911378
3.63636363636364,-44.1114293802417
3.66666666666667,-44.6574070933241
3.6969696969697,-45.817999194214
3.72727272727273,-47.1412453795548
3.75757575757576,-48.9121296545378
3.78787878787879,-50.2441672382496
3.81818181818182,-50.4172320108196
3.84848484848485,-49.4256635410612
3.87878787878788,-46.8979772614728
3.90909090909091,-44.3210849401943
3.93939393939394,-42.503368576627
3.96969696969697,-41.2064246950912
4,-39.7633055741983
