"Freq [GHz]","dB(S(hDipole1_1_p1,hDipole2_1_p1)) []"
1,-60.9051850866444
1.03030303030303,-59.9000106038187
1.06060606060606,-59.5559770363699
1.09090909090909,-59.5731809030039
1.12121212121212,-59.9127943328926
1.15151515151515,-60.3561729485591
1.18181818181818,-60.1488097996148
1.21212121212121,-59.1148107622864
1.24242424242424,-57.7483002082285
1.27272727272727,-56.8451983456667
1.3030303030303,-56.06811114046
1.33333333333333,-54.7661781128108
1.36363636363636,-53.3599268944867
1.39393939393939,-52.1166600591016
1.42424242424242,-51.3685298584968
1.45454545454545,-51.3909110354246
1.48484848484849,-51.9855065914504
1.51515151515152,-53.0626480102037
1.54545454545455,-54.2926201852147
1.57575757575758,-55.0330200744781
1.60606060606061,-55.37324858083
1.63636363636364,-56.3528717813359
1.66666666666667,-57.494375224432
1.6969696969697,-58.9945758000344
1.72727272727273,-60.1335358484948
1.75757575757576,-60.9602093199421
1.78787878787879,-61.5174550547003
1.81818181818182,-61.5971627886887
1.84848484848485,-61.7945881242857
1.87878787878788,-62.3445376793535
1.90909090909091,-63.2294768302597
1.93939393939394,-63.6524503048363
1.96969696969697,-64.0784800031056
2,-64.8449897650645
2.03030303030303,-66.4518916956888
2.06060606060606,-68.9224933706442
2.09090909090909,-72.0293036336482
2.12121212121212,-71.2496452860631
2.15151515151515,-68.447556655481
2.18181818181818,-66.021857631546
2.21212121212121,-64.3018855726709
2.24242424242424,-63.4976288269122
2.27272727272727,-63.126086700337
2.3030303030303,-62.9261514303153
2.33333333333333,-62.5940772245962
2.36363636363636,-62.3163321318219
2.39393939393939,-62.5549563925668
2.42424242424242,-63.1000656864402
2.45454545454545,-64.0008778903148
2.48484848484848,-65.1630503928489
2.51515151515152,-66.3499069124612
2.54545454545455,-67.04735443926
2.57575757575758,-67.4409872192367
2.60606060606061,-67.3265498864373
2.63636363636364,-67.889754808286
2.66666666666667,-68.6427931729134
2.6969696969697,-69.1087071270681
2.72727272727273,-68.9965058624849
2.75757575757576,-68.624598816425
2.78787878787879,-68.5431114681595
2.81818181818182,-68.4162864299965
2.84848484848485,-68.1733339619947
2.87878787878788,-68.2476440023204
2.90909090909091,-68.2323779619031
2.93939393939394,-67.9996411182549
2.96969696969697,-67.8879967626456
3,-68.268874837918
3.03030303030303,-69.188829596787
3.06060606060606,-70.5675255628744
3.09090909090909,-71.3665564914167
3.12121212121212,-71.3006116602244
3.15151515151515,-70.473281678219
3.18181818181818,-69.2547081526233
3.21212121212121,-68.5684596231059
3.24242424242424,-68.2036683561661
3.27272727272727,-68.4600973276808
3.3030303030303,-68.9455937751178
3.33333333333333,-69.4939119192607
3.36363636363636,-70.117249040013
3.39393939393939,-71.1533934169007
3.42424242424242,-72.4599689932272
3.45454545454545,-74.1583243156736
3.48484848484848,-75.6773860359178
3.51515151515152,-77.2076054450513
3.54545454545455,-77.5627449929988
3.57575757575758,-78.243793395984
3.60606060606061,-78.5181115566678
3.63636363636364,-79.55461684218
3.66666666666667,-80.9635813037835
3.6969696969697,-82.185881145466
3.72727272727273,-81.1935224471374
3.75757575757576,-81.1058136052529
3.78787878787879,-81.0906497360115
3.81818181818182,-81.3209168379282
3.84848484848485,-80.0655709357585
3.87878787878788,-78.7103280988345
3.90909090909091,-76.4726983694132
3.93939393939394,-74.7994797230727
3.96969696969697,-73.0249157676609
4,-73.1678388438975
