"Freq [GHz]","dB(S(hDipole1_1_p1,hDipole2_1_p1)) []"
1,-95.2611235305912
1.03030303030303,-94.0966906584541
1.06060606060606,-95.8806190163936
1.09090909090909,-94.8697530788149
1.12121212121212,-94.1695035990374
1.15151515151515,-95.7042767167903
1.18181818181818,-95.1200515052138
1.21212121212121,-95.0314491118334
1.24242424242424,-96.5472255329798
1.27272727272727,-96.3533169935444
1.3030303030303,-95.9312750603998
1.33333333333333,-98.0406177501333
1.36363636363636,-97.2858747570304
1.39393939393939,-96.4696426284211
1.42424242424242,-98.9050626537939
1.45454545454545,-96.7488090751151
1.48484848484849,-96.2647209557745
1.51515151515152,-99.0606134180842
1.54545454545455,-96.84264643766
1.57575757575758,-95.5561412796102
1.60606060606061,-96.9484840956087
1.63636363636364,-96.7598661867306
1.66666666666667,-96.3559293066554
1.6969696969697,-98.8947350896626
1.72727272727273,-98.0717379124725
1.75757575757576,-98.1065959966357
1.78787878787879,-101.891119480951
1.81818181818182,-101.994125571354
1.84848484848485,-102.112732478679
1.87878787878788,-104.796393207751
1.90909090909091,-104.144534339911
1.93939393939394,-103.671667057392
1.96969696969697,-106.012237826108
2,-106.736757028986
2.03030303030303,-105.402381621654
2.06060606060606,-107.561472664495
2.09090909090909,-108.320534301498
2.12121212121212,-107.741908673983
2.15151515151515,-112.181124664299
2.18181818181818,-109.838781924091
2.21212121212121,-108.02660349407
2.24242424242424,-110.069441289203
2.27272727272727,-108.807666850946
2.3030303030303,-107.842411301898
2.33333333333333,-109.172547715416
2.36363636363636,-109.1450179742
2.39393939393939,-108.101238266763
2.42424242424242,-109.455363802124
2.45454545454545,-108.518022229268
2.48484848484848,-107.620365792337
2.51515151515152,-110.649006899336
2.54545454545455,-109.961747809254
2.57575757575758,-108.814461035484
2.60606060606061,-109.813473145325
2.63636363636364,-109.547279961729
2.66666666666667,-109.23092105825
2.6969696969697,-110.957860409582
2.72727272727273,-111.938295106308
2.75757575757576,-111.223133149645
2.78787878787879,-113.769072809602
2.81818181818182,-114.665442834241
2.84848484848485,-113.257773990805
2.87878787878788,-116.270859769538
2.90909090909091,-114.467540152068
2.93939393939394,-113.396618164506
2.96969696969697,-113.961454811139
3,-112.566048653605
3.03030303030303,-111.846643786643
3.06060606060606,-114.085475663413
3.09090909090909,-113.201668200596
3.12121212121212,-112.17985715455
3.15151515151515,-115.037824051076
3.18181818181818,-113.503700371123
3.21212121212121,-112.328244814201
3.24242424242424,-113.134295049862
3.27272727272727,-111.689391744215
3.3030303030303,-111.123321714281
3.33333333333333,-112.525506611125
3.36363636363636,-112.965735678635
3.39393939393939,-113.395207983699
3.42424242424242,-115.125048150858
3.45454545454545,-115.494549977647
3.48484848484848,-114.799793069508
3.51515151515152,-116.538063928248
3.54545454545455,-115.609409654964
3.57575757575758,-115.971036244241
3.60606060606061,-119.204115746782
3.63636363636364,-118.302846191081
3.66666666666667,-119.060701628787
3.6969696969697,-122.238712395579
3.72727272727273,-120.010573547086
3.75757575757576,-119.335836705257
3.78787878787879,-120.214998982072
3.81818181818182,-117.183523859504
3.84848484848485,-115.880454951744
3.87878787878788,-116.448484374546
3.90909090909091,-114.838663293269
3.93939393939394,-115.113387838274
3.96969696969697,-116.034357041669
4,-115.562535314227
