"Freq [GHz]","dB(S(hDipole1_1_p1,hDipole2_1_p1)) []"
1,-81.4495656686084
1.03030303030303,-82.2889294391022
1.06060606060606,-83.0057050709222
1.09090909090909,-82.9619983460411
1.12121212121212,-84.0209644127346
1.15151515151515,-82.6385312427217
1.18181818181818,-83.146549999414
1.21212121212121,-81.4339142582971
1.24242424242424,-81.237364528359
1.27272727272727,-80.1816788990125
1.3030303030303,-79.6260894436932
1.33333333333333,-79.2354986212681
1.36363636363636,-78.4211241570331
1.39393939393939,-78.7934547724204
1.42424242424242,-78.0054283097689
1.45454545454545,-78.7932704943997
1.48484848484849,-78.0574924373877
1.51515151515152,-78.4629851562678
1.54545454545455,-77.8599148759236
1.57575757575758,-77.1903684462736
1.60606060606061,-77.0432516149336
1.63636363636364,-76.7198732285622
1.66666666666667,-77.6567013774931
1.6969696969697,-77.5109506260213
1.72727272727273,-78.6689632216723
1.75757575757576,-79.1285177314979
1.78787878787879,-80.3559834339655
1.81818181818182,-81.5465954029089
1.84848484848485,-82.5868743160797
1.87878787878788,-84.3436537293076
1.90909090909091,-84.6667295410045
1.93939393939394,-85.4480470098856
1.96969696969697,-84.8216750724611
2,-85.0021520186831
2.03030303030303,-84.668590883998
2.06060606060606,-84.4084976216489
2.09090909090909,-84.6889817559586
2.12121212121212,-84.3451682336232
2.15151515151515,-85.1829805234869
2.18181818181818,-84.9981552526083
2.21212121212121,-86.1734130590288
2.24242424242424,-86.4668521614385
2.27272727272727,-87.4370219288311
2.3030303030303,-88.065679871292
2.33333333333333,-88.1279671741369
2.36363636363636,-88.9099019277404
2.39393939393939,-88.2477515223272
2.42424242424242,-88.9664615702288
2.45454545454545,-88.3809315803342
2.48484848484848,-88.9718170526604
2.51515151515152,-89.0517492645911
2.54545454545455,-89.670979781468
2.57575757575758,-90.5696885911144
2.60606060606061,-90.9667323251101
2.63636363636364,-92.4725920619396
2.66666666666667,-92.5352208518382
2.6969696969697,-94.0773881566736
2.72727272727273,-93.8782833363796
2.75757575757576,-94.6373777846069
2.78787878787879,-94.6339071802386
2.81818181818182,-94.0843019545612
2.84848484848485,-93.8669910473846
2.87878787878788,-92.7169354833862
2.90909090909091,-92.9955621270037
2.93939393939394,-92.0170679021304
2.96969696969697,-92.5527020216791
3,-92.0388812211311
3.03030303030303,-92.4447691728293
3.06060606060606,-92.5223795240444
3.09090909090909,-92.2850291928975
3.12121212121212,-93.132345482609
3.15151515151515,-92.6157299086709
3.18181818181818,-93.5126169166686
3.21212121212121,-92.8439708788173
3.24242424242424,-93.3848498070456
3.27272727272727,-93.2789023655887
3.3030303030303,-93.5279103383595
3.33333333333333,-94.2218832496828
3.36363636363636,-94.2926512584607
3.39393939393939,-95.6700028829324
3.42424242424242,-95.6520564402172
3.45454545454545,-97.233658813186
3.48484848484848,-97.2905291033624
3.51515151515152,-98.2380928238921
3.54545454545455,-98.6525101243337
3.57575757575758,-98.5645256682418
3.60606060606061,-99.4642923854163
3.63636363636364,-98.8625670250113
3.66666666666667,-100.087554351383
3.6969696969697,-99.7003467136683
3.72727272727273,-100.228905975077
3.75757575757576,-99.7061386449913
3.78787878787879,-99.9141980908462
3.81818181818182,-100.36155968612
3.84848484848485,-99.9106168839745
3.87878787878788,-101.141690665154
3.90909090909091,-99.8673254309818
3.93939393939394,-100.964258317409
3.96969696969697,-99.5858685977613
4,-99.7607289328078
